Orgunit name,MOH 731   Discordant HV01-28,MOH 731   Linked_Total HV01-35,MOH 731   Negative_Total HV01-27,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,MOH 731  Tested_Couples HV01-15,MOH 731  Tested_New HV01-13,MOH 731  Total       HV01-50,Month,Total_tested,Infection_rate
Laikipia County,18.0,0.0,0.0,0.0,0.0,0.0,777.0,2,0.0,0.0
Lamu County,0.0,0.0,0.0,11.0,0.0,0.0,50.0,2,11.0,1.0
Machakos County,31.0,0.0,11280.0,282.0,349.0,4460.0,35.0,2,11562.0,0.024390243902439025
Mandera County,0.0,10.0,0.0,2.0,0.0,377.0,13.0,2,2.0,1.0
Marsabit County,0.0,0.0,0.0,13.0,0.0,0.0,56.0,2,13.0,1.0
Meru County,0.0,183.0,8578.0,0.0,459.0,4452.0,645.0,2,8578.0,0.0
Migori County,30.0,605.0,18702.0,602.0,0.0,7846.0,193.0,2,19304.0,0.03118524658101948
Mombasa County,19.0,0.0,13840.0,482.0,0.0,0.0,0.0,2,14322.0,0.03365451752548527
Muranga County,15.0,110.0,0.0,129.0,410.0,0.0,317.0,2,129.0,1.0
Nairobi County,0.0,0.0,49140.0,0.0,2460.0,20760.0,0.0,2,49140.0,0.0
Nakuru County,33.0,0.0,0.0,0.0,0.0,0.0,3319.0,2,0.0,0.0
Narok County,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Nyamira County,0.0,0.0,0.0,192.0,443.0,0.0,0.0,2,192.0,1.0
Nyandarua County,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Nyeri County,0.0,94.0,0.0,105.0,356.0,1824.0,110.0,2,105.0,1.0
Samburu County,15.0,0.0,0.0,44.0,78.0,0.0,760.0,2,44.0,1.0
Siaya County,0.0,0.0,19402.0,790.0,0.0,3853.0,806.0,2,20192.0,0.03912440570522979
Taita Taveta County,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Tana River County,0.0,0.0,1446.0,0.0,0.0,0.0,42.0,2,1446.0,0.0
Tharaka Nithi County,4.0,0.0,3379.0,0.0,0.0,1398.0,0.0,2,3379.0,0.0
Trans Nzoia County,10.0,0.0,3460.0,0.0,188.0,0.0,0.0,2,3460.0,0.0
Turkana County,2.0,132.0,12042.0,148.0,0.0,5899.0,420.0,2,12190.0,0.01214109926168991
Uasin Gishu County,30.0,0.0,8445.0,318.0,0.0,2715.0,0.0,2,8763.0,0.03628894214310168
Vihiga County,10.0,0.0,3514.0,130.0,137.0,1515.0,0.0,2,3644.0,0.03567508232711306
Wajir County,0.0,1.0,1312.0,0.0,20.0,893.0,5.0,2,1312.0,0.0
West Pokot County,1.0,77.0,0.0,0.0,0.0,0.0,648.0,2,0.0,0.0
Baringo County,17.0,34.0,0.0,81.0,0.0,0.0,0.0,3,81.0,1.0
Bomet County,1.0,0.0,7484.0,148.0,0.0,0.0,1743.0,3,7632.0,0.01939203354297694
Bungoma County,25.0,225.0,6556.0,0.0,0.0,3297.0,423.0,3,6556.0,0.0
Busia County,19.0,0.0,0.0,303.0,262.0,2898.0,502.0,3,303.0,1.0
Elgeyo Marakwet County,9.0,0.0,2095.0,0.0,0.0,0.0,40.0,3,2095.0,0.0
Embu County,30.0,0.0,0.0,125.0,220.0,0.0,71.0,3,125.0,1.0
Garissa County,0.0,0.0,1631.0,0.0,0.0,1018.0,0.0,3,1631.0,0.0
Homa Bay County,66.0,0.0,29004.0,0.0,1025.0,0.0,0.0,3,29004.0,0.0
Isiolo County,1.0,0.0,0.0,18.0,44.0,0.0,96.0,3,18.0,1.0
Kajiado County,21.0,164.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
